Rank,Crime Index ▲,City / Population
154,"1,097","Fremont, CA / 221,654"
155,"1,100","San Gabriel, CA / 40,173"
156,"1,106","Twentynine Palms, CA / 25,601"
157,"1,108","Wildomar, CA / 33,601"
158,"1,110","Livermore, CA / 83,901"
159,"1,115","Laguna Beach, CA / 23,114"
160,"1,117","Corona, CA / 157,395"
161,"1,118","Mountain View, CA / 76,741"
162,"1,125","Redondo Beach, CA / 67,511"
163,"1,129","Broadmoor, CA / 4,734"
164,"1,131","San Bruno, CA / 42,090"
165,"1,138","Mount Shasta, CA / 3,331"
166,"1,147","La Habra, CA / 61,341"
167,"1,149","Temecula, CA / 104,955"
168,"1,156","Burbank, CA / 104,484"
169,"1,160","Claremont, CA / 35,569"
170,"1,162","Vacaville, CA / 93,994"
171,"1,166","San Mateo, CA / 100,114"
172,"1,179","Newman, CA / 10,553"
173,"1,186","Calimesa, CA / 8,143"
174,"1,193","Burlingame, CA / 29,618"
175,"1,195","Arcadia, CA / 57,251"
176,"1,198","Alhambra, CA / 84,400"
177,"1,200","Santa Clara, CA / 119,525"
178,"1,202","Chowchilla, CA / 18,411"
179,"1,203","Duarte, CA / 21,676"
180,"1,205","Sausalito, CA / 7,043"
181,"1,208","Atascadero, CA / 28,792"
182,"1,210","Los Alamitos, CA / 11,598"
183,"1,216","South San Francisco, CA / 65,537"
184,"1,219","Monrovia, CA / 37,035"
185,"1,220","Angels, CA / 3,782"
186,"1,221","Elk Grove, CA / 158,455"
187,"1,223","Tracy, CA / 84,573"
188,"1,225","Port Hueneme, CA / 21,949"
189,"1,228","Santa Paula, CA / 29,990"
190,"1,229","Garden Grove, CA / 173,853"
191,"1,240","Rio Dell, CA / 3,373"
192,"1,240","San Fernando, CA / 24,050"
193,"1,241","Stanton, CA / 38,455"
194,"1,249","Colusa, CA / 5,962"
195,"1,264","Sonoma, CA / 10,818"
196,"1,265","Cotati, CA / 7,347"
197,"1,269","Brisbane, CA / 4,421"
198,"1,269","Gonzales, CA / 8,336"
199,"1,270","Paradise, CA / 26,246"
200,"1,271","Alameda, CA / 75,763"
201,"1,279","Susanville, CA / 16,537"
202,"1,280","Seaside, CA / 33,729"
203,"1,280","Norco, CA / 27,143"
204,"1,281","Beaumont, CA / 39,620"
205,"1,287","American Canyon, CA / 20,089"
206,"1,289","Napa, CA / 78,511"
207,"1,293","La Puente, CA / 40,342"
208,"1,301","Rohnert Park, CA / 41,352"
209,"1,304","Lomita, CA / 20,539"
210,"1,305","Milpitas, CA / 69,346"
211,"1,310","Dorris, CA / 1,115"
212,"1,316","Grover Beach, CA / 13,337"
213,"1,323","Loma Linda, CA / 23,648"
214,"1,329","Chino, CA / 80,810"
215,"1,332","Davis, CA / 66,093"
216,"1,333","Artesia, CA / 16,698"
217,"1,336","Buena Park, CA / 82,191"
218,"1,338","Carmel, CA"
219,"1,347","Brea, CA / 40,443"
220,"1,358","Firebaugh, CA / 7,935"
221,"1,364","Baldwin Park, CA / 76,411"
222,"1,364","Dunsmuir, CA / 1,482"
223,"1,365","Rosemead, CA / 54,457"
224,"1,371","Redwood City, CA / 79,736"
225,"1,377","Maywood, CA / 27,703"
226,"1,385","Auburn, CA / 13,690"
227,"1,385","Westminster, CA / 91,255"
228,"1,390","Marina, CA / 20,198"
229,"1,398","Oxnard, CA / 201,744"
230,"1,399","Galt, CA / 24,280"
231,"1,408","Tehachapi, CA / 13,818"
232,"1,408","Roseville, CA / 124,250"
233,"1,412","Martinez, CA / 36,876"
234,"1,419","Walnut Creek, CA / 65,923"
235,"1,424","Chula Vista, CA / 253,031"
236,"1,427","Fullerton, CA / 137,945"
237,"1,431","Fontana, CA / 201,355"
238,"1,442","Costa Mesa, CA / 111,635"
239,"1,444","Hermosa Beach, CA / 19,725"
240,"1,449","Hesperia, CA / 91,757"
241,"1,449","Suisun City, CA"
242,"1,455","Mcfarland, CA / 12,784"
243,"1,462","Whittier, CA / 86,400"
244,"1,465","Indian Wells, CA / 5,089"
245,"1,471","Lakewood, CA / 80,926"
246,"1,474","San Jose, CA / 986,320"
247,"1,478","Cudahy, CA / 24,073"
248,"1,480","Lawndale, CA / 33,155"
249,"1,480","Anaheim, CA / 342,973"
250,"1,486","Bell, CA / 35,896"
251,"1,487","Santa Rosa, CA / 170,782"
252,"1,487","Riverbank, CA / 23,310"
253,"1,489","Santa Ana, CA / 331,266"
254,"1,489","Escalon, CA / 7,252"
255,"1,495","Beverly Hills, CA / 34,536"
256,"1,502","Pasadena, CA / 139,065"
257,"1,504","Azusa, CA / 47,420"
258,"1,509","Norwalk, CA / 106,455"
259,"1,510","Apple Valley, CA / 70,561"
260,"1,513","Bell Gardens, CA / 42,712"
261,"1,515","Hollister, CA / 36,067"
262,"1,516","El Monte, CA / 115,243"
263,"1,517","Cerritos, CA / 49,599"
